,title,feed_type,link,description,date,image,publisher,stocks,_id
0,G20: How India is Combating Pak-China Cyber Threat & What is ‘Zero Trust’ Model to Prevent Such Attacks - News18,news-article,https://www.news18.com/explainers/g20-how-india-is-combating-pak-china-cyber-threat-what-is-zero-trust-model-to-prevent-such-attacks-8568672.html,G20 Summit: The Indian government has stationed Cyber squads at ITC Maurya where US President Joe Biden would be staying,2023-09-08 10:49:46.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/09/white-background-11-1-169415025916x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}",[{'sid': 'ITC'}],64fab34f41042058c3af815b
1,"Chennai: ITC asked to fork out Rs 1 lakh for packing one biscuit less in a pack, says report",news-article,https://www.businesstoday.in/latest/corporate/story/chennai-itc-forks-out-rs-1-lakh-for-packing-one-biscuit-less-in-a-pack-says-report-397138-2023-09-06?utm_source=rssfeed,A Chennai-based consumer forum directed ITC Limited to pay Rs 1 lakh for packing one biscuit less in a 16-biscuit ‘Sun Feast Marie Light’ packet after a consumer filed a case against the firm regarding the issue,2023-09-06 17:30:00.000,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/businesstoday/images/story/202309/ezgif-sixteen_nine_82.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/businesstoday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}",[{'sid': 'ITC'}],64f84471b5046bd854996436
2,A Biscuit That Cost ITC Rs 1 Lakh,news-article,https://www.bqprime.com/law-and-policy/when-one-biscuit-less-costs-itc-rs-1-lakh,"Even a deficiency of a single unit is a deficiency in service, says a Tamil Nadu consumer redressal forum.",2023-09-06 15:32:37.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2022-05%2F1e0c41e9-f2c8-4ce8-9511-57b66e8e408b%2FWhatsApp_Image_2022_05_18_at_6_55_17_AM.jpeg?rect=0%2C194%2C1600%2C840&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}",[{'sid': 'ITC'}],64f849fbb5046bd85499643b
3,ITC Ordered To Pay Rs 1 Lakh For 1 Less Biscuit In A Packet; Details Here - News18,news-article,https://www.news18.com/business/itc-ordered-to-pay-rs-1-lakh-for-1-less-biscuit-in-a-packet-details-here-8566219.html,"After a consumer complained about a biscuit missing in a pack, a Chennai-based consumer court disposing a case ordered ITC to pay Rs 1 lakh to the consumer as compensation for adopting unfair trade practices",2023-09-06 15:24:43.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/09/itc-biscuit-rs-1-lakh-169399402916x9.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}",[{'sid': 'ITC'}],64f85137b5046bd854996453
4,"Stock Market Today: Sensex, Nifty Advance For A Third Day Led By Infosys, ITC; Media Stocks Gain",news-article,https://www.bqprime.com/markets/stock-market-live-updates-5-september-2023-gift-nifty-signals-cautious-open-hero-moto-cipla-mm-yes-bank-tata-power-in-focus,"Sensex was closed 152 points, or 0.23%, at 65,780.26, while Nifty was 46 points, or 0.24%, higher at 19,574.90.",2023-09-05 17:13:41.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-09%2F265bce8a-a06d-4f00-a146-9b2721886d4b%2FNSE_reuters.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'IDTI'}, {'sid': 'ITC'}, {'sid': 'INFY'}, {'sid': 'MIRA'}, {'sid': '.NSEI'}, {'sid': '.NIFTYMED'}]",64f69606b5046bd854996096
5,4th G20 Sherpa Meet to Start in Haryana’s Nuh from Sunday - News18,news-article,https://www.news18.com/india/4th-g20-sherpa-meet-to-start-in-haryanas-nuh-from-sunday-8561842.html,"The meeting will be held till September 7 at the ITC Grand Bharat hotel, near Tauru, and Lemon Tree hotel. All the preparations for the meeting have been made, the district administration said on Saturday",2023-09-03 13:00:19.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/09/g20-summit-dress-rehearsals-169363290516x9.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}","[{'sid': 'ITC'}, {'sid': 'LEMO'}]",64f43988948aab0796b87cb3
6,"GST: Businesses Can Claim ITC on Goods Procured for Distribution to Dealers for Sales Target, Says GST AAR - News18",news-article,https://www.news18.com/business/tax/gst-businesses-can-claim-itc-on-goods-procured-for-distribution-to-dealers-for-sales-target-says-gst-aar-8561854.html,"Input tax credit can be availed on taxes paid for procurement of white goods or gold coins for the purpose of incentive to dealer as it is a supply, according to the Karnataka-bench of the AAR",2023-09-03 12:35:33.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/07/untitled-design-2023-07-10t182353.581-168899363916x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}",[{'sid': 'ITC'}],64f43286948aab0796b87cae
7,"Sensex, Nifty Trade Higher As Infosys, Axis Bank, RIL Lead: Midday Market Update",news-article,https://www.bqprime.com/markets/sensex-nifty-trade-higher-as-infosys-axis-bank-ril-lead-midday-market-update,ITC and Tata Consultancy Services were also positively adding to the change.,2023-08-30 12:26:47.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-08%2F068216ca-94c0-49ad-b186-d8a6d7425455%2FWhatsApp_Image_2023_07_10_at_10_03_44.jpg?rect=0%2C43%2C1600%2C840&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'AXBK'}, {'sid': 'IDTI'}, {'sid': 'ITC'}, {'sid': 'INFY'}, {'sid': 'MIRA'}, {'sid': 'TCS'}, {'sid': '.NSEI'}]",64eeec4e9ac9f6751594db51
8,ITC Chairman Hopes India Food Export Bans Are Short-Lived,news-article,https://www.bqprime.com/business/itc-chairman-hopes-india-food-export-bans-are-short-lived,"India’s decision to ban exports of wheat and rice should be short-lived once food supply stabilizes in the country, said Sanjiv Puri, chairman of ITC Ltd.",2023-08-29 14:09:34.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-08%2F38794d03-9f4a-444b-9600-dac62f962bb5%2F_1x_1.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}",[{'sid': 'ITC'}],64ed9b019ac9f6751594d8d9
9,"G20 Summit in Delhi: Joe Biden at ITC Maurya, Xi Jinping At Taj | Who’s Staying Where - News18",news-article,https://www.news18.com/india/2023-g20-new-delhi-summit-joe-biden-itc-maurya-xi-jingping-taj-hotel-who-is-staying-where-in-delhi-8555445.html,"Advance liaison teams from the US, the UK, and China among other countries have already arrived in India for preparations",2023-08-29 14:07:38.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/08/g20-delhi-leaders-summit-169329774216x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}",[{'sid': 'ITC'}],64edb1069ac9f6751594d91e
