,title,feed_type,link,description,date,image,publisher,stocks,_id
0,Buy LIC Housing Finance; target of Rs 490: Sharekhan,news-article,https://www.moneycontrol.com/news/business/stocks/buy-lic-housing-finance-target-of-rs-490-sharekhan-11124961.html,"Sharekhan is bullish on LIC Housing Finance has recommended buy rating on the stock with a target price of Rs 490 in its research report dated August 04, 2023.",2023-08-09 13:35:22.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/07/Buy-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'LICH'}],64d34d32a5cfe86dc38a3322
1,Reduce LIC Housing Finance; target of Rs 395 : HDFC Securities,news-article,https://www.moneycontrol.com/news/business/stocks/reduce-lic-housing-finance-target-of-rs-395-hdfc-securities-11124721.html,"HDFC Securities recommended reduce rating on LIC Housing Finance with a target price of Rs 395 in its research report dated August 04, 2023.",2023-08-09 11:57:59.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Reduce-3-1-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'LICH'}],64d3381aa5cfe86dc38a3237
2,Buy LIC Housing Finance; target of Rs 500: Motilal Oswal,news-article,https://www.moneycontrol.com/news/business/stocks/buy-lic-housing-finance-target-of-rs-500-motilal-oswal-11115571.html,"Motilal Oswal is bullish on LIC Housing Finance recommended buy rating on the stock with a target price of Rs 500 in its research report dated August 04, 2023.",2023-08-08 15:32:33.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Buy_1280x720_2-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'LICH'}, {'sid': 'MOFS'}]",64d217d3a5cfe86dc38a2b21
3,Hold LIC Housing Finance; target of Rs 430: Prabhudas Lilladher,news-article,https://www.moneycontrol.com/news/business/stocks/hold-lic-housing-finance-target-of-rs-430-prabhudas-lilladher-11114431.html,"Prabhudas Lilladher recommended hold rating on LIC Housing Finance with a target price of Rs 430 in its research report dated August 04, 2023.",2023-08-07 21:24:27.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Hold-1-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'LICH'}],64d115eda5cfe86dc38a2569
4,"Big Movers on D-Street: What should investors do with Zomato, LIC Housing and Airtel?",news-article,https://economictimes.indiatimes.com/markets/stocks/news/big-movers-on-d-street-what-should-investors-do-with-zomato-lic-housing-and-airtel/articleshow/102485910.cms,"On the upside, Rs 100 is the psychological resistance level; above this, we can expect a rally towards Rs 114. On the downside, Rs 87 is an important support level during any correction.",2023-08-07 08:39:00.000,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-102485888,width-1070,height-580,imgsize-47976,overlay-etmarkets/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'BRTI'}, {'sid': 'LICH'}, {'sid': 'ZOM'}]",64d07030a5cfe86dc38a1f23
5,LIC Housing Finance shares surge on Q1 numbers,news-article,https://www.thehindubusinessline.com/markets/lic-housing-finance-shares-surge-on-q1-numbers/article67157517.ece,"LIC Housing Finance Ltd’s shares rose 9% after Q2 profits increased 42% to Rs 1,319 crore, revenues up 27% to Rs 6,759 crore. Profits 10% higher sequentially. Shares at Rs 431.3, up 9.49%.",2023-08-04 14:48:19.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/hymi6g/article66865918.ece/alternates/LANDSCAPE_1200/LIC%20Housing.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'LICH'}],64ccc81e7a206429c6a9cb64
6,LIC Housing Finance stock rallies 5% after Q1 net profit jumps 43%,news-article,https://www.moneycontrol.com/news/business/markets/lic-housing-finance-stock-rallies-5-after-q1-net-profit-jumps-43-11095761.html,The LIC Housing Finance stock has given a return of 3.05 percent over the last six months.,2023-08-04 09:56:25.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2022/11/housing-finance-1-770x431.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'LICH'}],64cc7fb27a206429c6a9c89c
7,"Buzzing Stocks: SBI, Airtel, Maruti Suzuki, Eicher Motors, LIC Housing, others in news",news-article,https://www.moneycontrol.com/news/photos/business/stocks/buzzing-stocks-sbi-airtel-maruti-suzuki-eicher-motors-lic-housing-others-in-news-11093501.html,"Stocks to watch: Check out the companies making headlines before the opening bell today, July 27, 2023",2023-08-04 06:32:30.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Sensex_nifty_market_flat-1-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'BRTI'}, {'sid': 'EICH'}, {'sid': 'LICH'}, {'sid': 'MRTI'}, {'sid': 'SBI'}]",64cc55877a206429c6a9c7a2
8,"LIC Housing Finance Q1 PAT up 43% on steady revenue, NII growth",news-article,https://www.thehindubusinessline.com/money-and-banking/lic-housing-finance-q1-pat-up-43-on-steady-revenue-nii-growth/article67154982.ece,"LIC Housing Finance posted a net profit of ₹1,324 crore for Q1 FY24, up 43 per cent, led by a 28 per cent rise in revenue from operations to ₹6,747 crore.",2023-08-03 20:50:36.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/1lh7mh/article67155003.ece/alternates/LANDSCAPE_1200/LIC%20Housing%20MD%20Tribhuwan%20Adhikari.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'LICH'}],64cbca8f7a206429c6a9c55b
9,"LIC Housing Finance Q1 results: Net profit up 43% to Rs 1,324 crore",news-article,https://www.moneycontrol.com/news/business/earnings/lic-housing-finance-q1-results-net-profit-up-43-to-rs-1324-crore-11089601.html,"The company’s net interest income (NII) grew 38 percent to Rs 2,252 crore in the quarter under review from Rs 1,628 crore in the last fiscal.",2023-08-03 20:20:23.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2022/11/housing-finance-1-770x431.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'LICH'}],64cbc8e07a206429c6a9c558
